author,idn,place,recipient,title,year,location,point,lat,lon
"Brown, Francis",997268107,"New York, NY","Heilbut, Iwan",Korrespondenz,1944-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Maxwell, William",997268727,"New York, NY","Heilbut, Iwan",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Osborn, Max",997738405,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Wolff, Kurt",997739789,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Pitt, Louis W.",1000374238,"New York, NY","Heilbut, Iwan",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Pauker, Edmond",997956887,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993729711,"New York, NY","Bergengruen, Werner",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993750249,"New York, NY","Berger, David",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993750354,"New York, NY","Berghof, ...",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993751288,"New York, NY","Bergner, Elisabeth",Korrespondenz,1945-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993753094,"New York, NY","Berlowitz, Klara",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993755488,"New York, NY","Bermann Fischer, Gottfried",Korrespondenz,1946-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993755739,"New York, NY","Bezzel, Mathilde",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993793894,"New York, NY","Bildt, Paul",Korrespondenz,1945-1962,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99379436X,"New York, NY","Bissinger, ...",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993795269,"New York, NY","Böckmann, Paul",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993795897,"New York, NY","Böhm, Franz",Korrespondenz,1948-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993797687,"New York, NY","Bonnier, Åke",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993797830,"New York, NY","Borcherdt, Hans Heinrich",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993797962,"New York, NY","Bothas, Dagmar",Korrespondenz,1950-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",993800645,"New York, NY","Britting, Georg",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994255640,"New York, NY","Buerkle, Werner Jakob",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994335148,"New York, NY","Busoni, Rafaello",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994335407,"New York, NY","Buttenwieser, Hilda",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994342837,"New York, NY","Pagel, Karl",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",999679295,"New York, NY","Wilson, Howard E.",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994350775,"New York, NY","Wheelock, John Hall",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994351569,"New York, NY","Christ, Ray",Korrespondenz,1947-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994362021,"New York, NY","Wegner, Christian",Korrespondenz,1947-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994367333,"New York, NY","Churchill, Winston",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99436752X,"New York, NY","Classen, Werner",Korrespondenz,1947-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994373457,"New York, NY","Willson, E. T.",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994434537,"New York, NY","Cooke, Eleanor B.",Korrespondenz,1942-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",994435827,"New York, NY","Cooke, Eleanor B.",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
